freq,peak_mag,dBV
7917,0.000128823861145201,-80.8103737203996
8485,0.000101451974124085,-82.8850899114398
9094,8.20577764942468e-05,-84.7279050609223
10447,8.21679142425186e-05,-84.716254697747
12000,7.99012075204403e-05,-84.9592331023997
13784,7.73281667123578e-05,-85.2435456747508
15834,9.94899755934765e-05,-83.0547134701187
16971,0.000114756496753664,-81.8147543209249
18189,7.12663464343997e-05,-85.9526100631622
20893,0.000163757372043452,-78.7262827524352
24000,0.000143671949890686,-79.8628602372128
27569,0.000142082753090407,-79.9594726827145
31668,0.000106663112439458,-82.450014910944
33941,0.000127474256691058,-80.9018501915708
36377,0.000123211735768721,-81.1972584401922
41786,0.000178782457997853,-77.963801878681
48000,0.000191032034986054,-77.3881759152379
55138,0.000239988318575055,-75.4064978975628
63336,0.000262306797698396,-74.6341090464988
67882,0.000309418256837822,-73.199381254182
72754,4.31842829933209e-05,-90.3037856922192
6000,0.000409970974329189,-70.7552377556545
6892,0.000386289487893103,-71.2720421598908
7917,0.000414453219100401,-70.6607896127437
8485,0.000304541463858074,-73.3373713375361
9094,0.000271306187065002,-74.3411059997602
10447,0.000270745809736249,-74.359065078948
12000,0.000210323944029621,-76.5525256138977
13784,0.000158494658342036,-79.0100073563745
15834,0.000306414958656334,-73.2841006967413
16971,0.000184666252841586,-77.6825492209573
18189,0.000291424023615823,-73.7197929548555
20893,0.000363135955302675,-71.8089149168857
24000,0.000414190899596222,-70.6662889055955
27569,0.000437369765127783,-70.1933248074824
31668,0.000393328431665333,-71.1151931479934
33941,0.000414607058705061,-70.6575661225365
36377,0.000290818442658533,-73.7378610675863
41786,0.000513969066980661,-68.7915603177406
48000,0.000594055257565634,-67.5337630792488
55138,0.000761194901543663,-65.3803825419247
63336,0.000823497330323734,-64.6970560450562
67882,0.000952885973295318,-63.4294812750691
72754,0.00195518626652077,-57.1865371959797
6000,0.00125238006921635,-61.0555770067144
6892,0.00123264593622727,-61.1935329912246
7917,0.00128167383638852,-60.8547495790212
8485,0.000976257986686773,-63.219007960089
9094,0.000847028955885221,-64.4523348157583
10447,0.000865487111435867,-64.265087859008
12000,0.000646854443026129,-66.7941686462761
13784,0.000491157282341373,-69.1858882031863
15834,0.000883353341400239,-64.0876108335503
16971,0.000739529697671406,-65.6311875792758
18189,0.000961275697418137,-63.3533407007575
20893,0.00116283843936562,-61.6999123648397
24000,0.00129268950998203,-60.78041546513
27569,0.00133702722789455,-60.4874949257763
31668,0.00111155793342031,-62.0916579032255
33941,0.00138350184234286,-60.1907051205113
36377,0.00104629944681754,-62.6171800425142
41786,0.00158196481508562,-59.0263635565178
48000,0.00183019854029541,-57.7603358639142
55138,0.00234028730460014,-55.6249164225978
63336,0.00262515027973879,-54.6272165538524
67882,0.00304642169716789,-53.3344995598505
72754,0.00196100420465935,-57.1607294595371
